lat,lng,province,province_id,region,region_id,date,month,season,hazard_type,hazard_type_id,base_flood_risk,base_landslide_risk,base_storm_risk,weather_avg_temp,weather_max_temp,weather_min_temp,weather_total_precip_30d,weather_max_daily_precip,weather_avg_wind,weather_max_wind,weather_days_with_rain,weather_days_heavy_rain,risk_level
15.535393,108.809573,Quảng Ngãi,33,central,1,2020-12-01,12,1,landslide,1,5,3,4,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
22.577177,105.754579,Bắc Kạn,12,north,0,2020-02-17,2,0,storm,2,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
10.366114,105.612647,Vĩnh Long,54,south,3,2021-10-14,10,2,landslide,1,4,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
20.714838,105.833718,Hải Dương,19,north,0,2022-09-25,9,2,landslide,1,3,1,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
21.204421,107.059578,Hải Phòng,1,north,0,2020-02-03,2,0,flood,0,4,1,3,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
21.221342,105.594172,Thái Nguyên,9,north,0,2022-10-21,10,2,landslide,1,3,2,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
10.906886,106.664941,Bình Dương,47,south,3,2022-12-13,12,1,flood,0,3,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
10.483883,105.664751,Đồng Tháp,55,south,3,2021-10-21,10,2,storm,2,5,1,1,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,1
11.457541,108.733678,Lâm Đồng,43,highlands,2,2023-08-19,8,2,flood,0,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
22.658018,106.296234,Cao Bằng,11,north,0,2023-12-05,12,1,storm,2,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
22.142609,103.705292,Lào Cai,3,north,0,2022-08-27,8,2,flood,0,4,5,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,5
22.190459,106.380568,Lạng Sơn,10,north,0,2020-08-23,8,2,landslide,1,3,3,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,3
20.827661,105.83587,Hòa Bình,8,north,0,2022-05-06,5,1,storm,2,3,4,2,25.0,30.0,20.0,100.0,20.0,10.0,20.0,10,1,2
