lat,lng,province,province_id,region,region_id,month,season,hazard_type,hazard_type_id,base_flood_risk,base_landslide_risk,base_storm_risk,seasonal_multiplier,risk_level
11.794958,108.090527,Lâm Đồng,43,highlands,2,12,1,storm,2,3,4,2,0.4,1
21.075061,106.161184,Bắc Ninh,18,north,0,11,1,landslide,1,2,1,2,0.8,1
22.898449,106.761303,Cao Bằng,11,north,0,8,2,flood,0,3,4,2,0.8,3
20.17986,105.761149,Hà Nam,22,north,0,9,2,landslide,1,3,1,2,1.0,1
21.296412,102.799786,Điện Biên,5,north,0,4,0,storm,2,3,4,1,0.2,1
11.791408,105.966961,Tây Ninh,46,south,3,10,2,flood,0,2,1,1,1.0,2
20.763066,105.737309,Hòa Bình,8,north,0,12,1,storm,2,3,4,2,0.4,1
10.680869,106.50117,Bến Tre,52,south,3,3,0,landslide,1,4,1,2,0.2,1
21.361868,106.158491,Hải Dương,19,north,0,8,2,flood,0,3,1,2,0.8,3
22.179337,105.960623,Cao Bằng,11,north,0,7,2,flood,0,3,4,2,0.7,2
21.388902,105.670536,Vĩnh Phúc,16,north,0,1,0,storm,2,2,1,2,0.2,1
21.290831,105.492841,Phú Thọ,15,north,0,10,2,landslide,1,3,2,2,1.0,2
17.954489,106.25965,Hà Tĩnh,27,central,1,5,1,flood,0,5,3,5,0.5,3
11.220492,109.180969,Ninh Thuận,37,central,1,10,2,flood,0,3,2,3,1.0,3
20.592037,106.218054,Hưng Yên,20,north,0,5,1,storm,2,3,1,2,0.3,1
21.077554,106.000379,Hưng Yên,20,north,0,1,0,landslide,1,3,1,2,0.3,1
20.507076,106.226759,Hà Nam,22,north,0,9,2,flood,0,3,1,2,1.0,3
12.951489,108.962613,Phú Yên,35,central,1,4,0,storm,2,4,2,4,0.2,1
14.450899,107.964356,Kon Tum,39,highlands,2,3,0,landslide,1,3,4,2,0.2,1
15.963458,108.617763,Đà Nẵng,31,central,1,7,2,landslide,1,4,2,4,0.7,1
9.473056,106.215148,Bạc Liêu,61,south,3,6,2,flood,0,4,1,2,0.6,2
11.172221,105.690798,Tây Ninh,46,south,3,10,2,landslide,1,2,1,1,1.0,1
14.19015,108.155847,Gia Lai,40,highlands,2,2,0,flood,0,3,3,2,0.2,1
20.382452,105.60729,Hà Nam,22,north,0,5,1,flood,0,3,1,2,0.5,1
14.022584,108.114346,Kon Tum,39,highlands,2,11,1,storm,2,3,4,2,0.8,2
21.187981,105.8021,Vĩnh Phúc,16,north,0,6,2,landslide,1,2,1,2,0.6,1
21.536418,104.343782,Sơn La,6,north,0,9,2,storm,2,3,5,2,0.9,2
9.702557,106.0148,Sóc Trăng,60,south,3,2,0,landslide,1,4,1,2,0.2,1
9.75403,105.539371,Sóc Trăng,60,south,3,11,1,flood,0,4,1,2,0.9,3
17.500282,107.014823,Quảng Bình,28,central,1,10,2,landslide,1,5,4,5,1.0,4
10.504873,106.061177,Đồng Tháp,55,south,3,9,2,flood,0,5,1,1,1.0,5
20.13486,105.488476,Hà Nam,22,north,0,8,2,storm,2,3,1,2,0.7,2
19.54579,104.44779,Nghệ An,26,central,1,9,2,landslide,1,5,4,4,1.0,4
21.120384,105.081672,Vĩnh Phúc,16,north,0,10,2,landslide,1,2,1,2,1.0,1
9.4002,105.489514,Hậu Giang,59,south,3,9,2,flood,0,4,1,1,1.0,4
22.419278,105.921869,Bắc Kạn,12,north,0,4,0,storm,2,3,4,2,0.2,1
10.336191,104.820788,Kiên Giang,57,south,3,3,0,landslide,1,4,1,2,0.2,1
11.58741,107.983682,Lâm Đồng,43,highlands,2,2,0,storm,2,3,4,2,0.1,1
21.444713,106.291468,Thái Nguyên,9,north,0,4,0,landslide,1,3,2,2,0.3,1
20.718746,105.81029,Bắc Ninh,18,north,0,5,1,landslide,1,2,1,2,0.5,1
10.381481,106.463251,Tiền Giang,51,south,3,11,1,storm,2,4,1,2,0.8,2
20.054823,106.237555,Ninh Bình,24,north,0,6,2,flood,0,4,2,2,0.6,3
21.003863,102.738837,Điện Biên,5,north,0,2,0,storm,2,3,4,1,0.1,1
19.855194,105.839149,Ninh Bình,24,north,0,12,1,landslide,1,4,2,2,0.4,1
18.239142,105.828519,Hà Tĩnh,27,central,1,10,2,flood,0,5,3,5,1.0,5
12.187954,106.277663,Bình Phước,45,south,3,12,1,flood,0,2,2,1,0.5,1
10.681636,106.817495,Tiền Giang,51,south,3,4,0,landslide,1,4,1,2,0.3,1
10.564928,106.771613,Bến Tre,52,south,3,5,1,landslide,1,4,1,2,0.5,1
11.7917,107.742191,Đắk Nông,42,highlands,2,3,0,flood,0,3,4,2,0.2,1
22.588553,106.334992,Cao Bằng,11,north,0,10,2,landslide,1,3,4,2,1.0,4
10.28471,106.197916,Long An,50,south,3,5,1,flood,0,4,1,1,0.5,2
20.444389,106.288759,Ninh Bình,24,north,0,3,0,flood,0,4,2,2,0.2,1
14.055893,107.534083,Gia Lai,40,highlands,2,11,1,storm,2,3,3,2,0.8,2
21.559031,105.113158,Tuyên Quang,13,north,0,9,2,landslide,1,3,3,2,1.0,3
16.405081,107.300293,Quảng Trị,29,central,1,7,2,storm,2,5,4,5,0.6,3
10.030366,106.489455,Tiền Giang,51,south,3,3,0,storm,2,4,1,2,0.1,1
10.612786,105.612261,Đồng Tháp,55,south,3,7,2,flood,0,5,1,1,0.7,3
11.426481,107.212184,Bình Phước,45,south,3,2,0,flood,0,2,2,1,0.2,1
10.42114,104.821761,Kiên Giang,57,south,3,4,0,flood,0,4,1,2,0.3,1
